user,comment
mariadavis1965,Not so big. Ben never acted like he was really serious about marriage
tbugryn,@paige__gardner
brigid_mckee,@sarah_penney crying
em.smith_,😍🙌🏼
graceeecurtin,@kayliemorgannn_
jessica_wadsworth,You guys will have the cutest babies one day 😍
jennarodg,@meghanpilkey obsessed
liveloveblank,Aww sooo sweet💋💕
alishamarievee,When you play the song on YouTube over and over at work all day 😂
mommyashlee4,Is this song available to purchase? I love it! @laurenbushnell @iamchrislane
ohheyitsdannii,@emalay1 😭😍😭😍😭😍
laurdandrea,@andreacartwright !!!!!!!
emilyoverbaugh,Need. This. Song. On. iTunes. Stat.
hmmkylienicole,@caitlanlozano I’m crying 😭
hey_its_kaekae,When can I buy this song ?!
_hayleylecourt,😭😭😭😭😭 😻😻 @jax_lecourt
grnjeep95,Lucky lady
gsantoriello,Are we going to be able to download this song???
amywgalloway,@tour_de_hanzia ugh my fav song ❤️
dogtorlopip,@maddie_christen
ali.herring,@jadyn_henry
hrg18,Chills ⚡️🤪
natalieturkowski,freaaakkkinggg obsessed💓
carlyreale,@kassidaddyy
debbiecullinan,So awesome 👏
juliacmckenzie,@ameliawilliams5
jacquicole,🥰🥰🥰🥰 @hthreeevents
allyconboy,@alxibe caption
mustbethemandayyy,@bennett_katie
stylecusp,❤️❤️❤️
cierrajank,Boooots 😭😍 @saralasley
em_walkz,We need this on Spotify!!!
brookecombz,IM SO OBSESSED
emilyruthbabcock,Stop I can’t anymore. Can’t stop listening to your song😭💛
kira_ferguson,@natotat @mireilleorlady @sophieewright crying
mal.joan,@forsalebyjessica love them so much. Watch her video in her bio ❤
mrserinfortune25,💖💙❤️
emalynnc,😭💕💕
conniepaolini,@nataliedimartino I can’t get over this 😭💕
lisakiv,@melcoutoo
shelby_rice_,Can we get this song released on @spotify pleeeeeease
katie.mae.spinney,@aspennehra 😭😭😭
samanthalrizzo,@annadrummey I love them
nicolecarlsonxo,So happy for you two 😍💕
archerdeanphotography,😍😍😍
coco.and.cody.pups,When’s the song going on Spotify I want to listen to it all day long??
kara_spaghetti,@victoriaseekret still crying💕
hayleyyhamm,Ugh😭
marissalarose,😭 ugh so cute!!!!
maddiegoban,@maddieecarollo
elleyhousenga,@keriganann okay crying x10000
alipowell21,💕💕💕
marisa_menna,Ughhh I can’t handle @danica_menna
b.lamarche,Love this so much!!
adambobo,🖤🖤🖤
glowboss.co,GOALS💖
regannclarke,Please Please PLEASE! Get this song on iTunes or Apple Music!! 🤗
swahealy302,#goals
cupcakew324,You def traded up girl!
maddi_morehead,😍😍😍😍😍
janeller0mero,@tate_brock
katebrennan16,@emmerrill
leticiahertz,Congratulations Lauren & Chris on your engagement! Love your new song 💙
_caitbish,WILL YOU BE AT THE ST. LOUIS SHOW THIS FRIDAY?! 🥺💛💛
dmitrey287,💜💜💜💎💎💎
trina_mae__,Can you ask Chris to put Bigbig plans on Spotify!?!?
nickyvankets,Verified
kthamby,@laurenbushnell So stinkin happy that you found your happy ever after girl! 💞💞💞
fortunevalleybarn,"Congrats, if you are looking for a Hudson Valley NY secluded wedding venue, check out Fortune Valley Manor❤️"
jc22barry,Love y’all together so much!!!
fardali__,FOLLOW MY BOXING PAGE ⚡️🥊
we.are.day,💙
k.j.e.s,💗💗💗 Didn't think I would be okay with you moving on after Ben but this is absolutely adorable!!!!!! The song is perfect too. Ah!! 💗💗💗
juliakate7,Can you come to his bottle and cork show ???
allenyorkdecorandgifts,Congrats!
lusiana_goldman,💕
alissajosey,😍😍😍
jillihende,"Loved meeting you in Montana! Had no idea we are both from Oregon🙌, congrats on the engagemen❤️🎉"
bloomingboomer,Lauren⚘I'm so happy for you! I see genuine love with you two.💝Chris Lane is the best of them all!♥️
shahejad_malek,Hotiiii
