user,comment
sirwaltermsmelody,Meow try it with hot sauce it’s delicious @profitdriver my meowmie eats it all the time
joanna.marina,Tajin🙌
hollys_hair_journey,Nom nom
carolinaneel,Britney put some TAJIN on that watermelon slice
kaly_lessy,👌👌👌
trancas33,⚡️
indigo_avalon_lotus_flower,thats interesting...never heard of...
danichoyen,Martha Stewart is shaking @laurajhaines
otrd1985,@tajinusa
careyrdh,The only way to eat watermelon! 🍉🧂
mstets207,@jstetson1987 You and Brit 👯
scarybradshaw69,@jungbagel
gfour84,Watermelon should give Black seeds
lottahbutler,Did you add salt to yours @heatherwoods79 ⁉️
aronparke,🔥
piman31415926,Yes!
itsliza__likeminnelli,Salt on watermelon is LIFE! 😍
olivialaymon,invented eating watermelon with salt.
maryannsassaman,Love w salt
costel.vasile.12139,🍉🍉🍉😘
steff_mills,Salt?!
berdiyevasahra,🙄🙄🙄
syedaseemab1,I only taste dis much...da rest i eat 6 7 pieces more😂
arandajesusmanuelhernandez,It seems mexican watermelon
khristinalynn,"Totally!!! Its a southern thang, lol."
katetoddentertainment,Yum! I do watermelon and lime!!
renangram,Menina sua louca vai dar hipertensão
johnchen63951,❤️❤️❤️❤️
nataliesibson,Please read the comments @sarahjessicamae 😂
_alyssak_,Yo @tajinusa can you get our girl some Tajin and really blow her mind 🔥🔥🔥
cindylunak,Yes ma’am!
samfbrown,@aynsleyadele
jesslhuffman,Watermelon and Tajin!!!!!!!
meen.memes,@britneyspears that is a beautiful piece of watermelon🍉...Just like you!!
cooperlovesme11,You should try pineapple and salt!
swilty,Yes to the salt!! My fave 😋
shannillerowe,Yum!
aoifsom,@aimeerochee
smoochie93,My FAVE!! 🍉🍉🍉🍉🍉🍉🍉🍉🍉🍉🍉🍉🍉🍉🍉🍉Xo 🍉🍉🍉🍉🍉🍉🍉🍉🍉🍉🍉🍉Watermelon🍉🍉🍉🍉🍉🍉🍉🍉Salt🍉🍉🍉🍉summer🍉🍉🍉🍉🍉🍉🍉🍉🍉🍉🍉vibes🍉🍉🍉🍉🍉🍉🍉🍉🍉🍉🍉🍉🍉
lynnespears_rf,My fav!
kellymreeves,It’s a Louisiana thing. I do it too
mcatroark,@winn_roark22
harrisonkimberly41,Yes ma'am..the salt brings out the sweetness eve more💜
haykmarine,Watermelon with feta cheese is the best!
felix8506,Add lemon and chile power for even more tastiness
veronikaspg,Sin semillas 😍
romich_21,Watermelon but... without salt 😂😂😂
boltpdx,@selmelier @xxoom it’s her prerogative
frank_frankly_frank,😜✋🏿
chasmolass,YES!!!
durban_hair_guru,The best ❤️
marius.babuta,I feel like she's trolling. And i live for it.
kriswan1980,"Класс, блин моя бабуля круто засаливает арбузы на зиму"
kriswan1980,Реально вкусно
jackie_times,yuck
sarahmdubc,Try it with tajin! It's life changing.
bucknekett22,Bawling. I needed this today.
puxxypricey,My ❤️
shellbeeinwonderland,Try it with the @traderjoes Chili Lime Salt. 😍
hamed.mortezapour1982,It's Persian habit😊. Sam told you to did?
only1butter,😴😴😴😴😴😴
akamanda,🔥
peacefullydelicious,Read the comments 😂 @sylviapawelec
timmilk96,No way what’s that do
timmilk96,@cindy__lou79
marlin_pena,@britneyspears watermelon and tajin 🙌🏽🙌🏽
an.nnika,@croissant_baguette  thoughts?
gerardopah,@ne_tja #wordsofwisdom
misssshicks,@beejhoe
uhakheme,YES!  YUMMY ❤️
my_life_with_10_cats,Eww
jenwillcut_u,Tajin not salt
shannontuohy,@madelineomalley_
iamlincolnalexander,@fvckbelle
kamelblu,💯💯
tardy_charlotte,Or... without
tardy_charlotte,Or... without
skleykasuka,🤔interesting
ryhadee_xoxo,Yummm 😍😍
feyzaaktas13,what?.. watermelon and salt?
zocore,Yassss! So Southern! 😍
heather_michelle_rn,Just like my mama eats it
cilicocca,???
lakwatsera_babae,Its a good combination though the sweet and salty 😘 @britneyspears ♥️
thaimex81,@pennyuprex 🤔
corilutt,@chelseahawk genius
rachcopley,Hahaha @nicolemcness
syrena311,Only way to eat it!! 👏👏👏
kristi_marie_k,@britneyspears try it with seasoned salt 😋
mathyou_conrad,@spgunderwood we gotta do a watermelon salt donut and call it the Britney
goncan70,you should try Ecuadorian watermelons. The best ones.
kellykellykellyy,Legit lost it @katelynne_ray84
mentor_for_myself,Follow me for more happiness🍀😁
spritztopherdavid,@cour_beth
tbop2,It’s a southerner thing.
flaviaferracini,❤️❤️❤️❤️❤️
leahkasin,@shaynagive83
